DayOfWeek,DOT_ID_Operating_Airline,DepDelayMinutes,OriginWac,DestWac,CRSDepTime,CRSArrTime,ArrDelayMinutes,Distance
3,19393,0.0,34,53,1,1,0.0,0.0
3,19393,3.0,34,53,2,2,1.0,0.0
3,19393,0.0,34,53,0,0,0.0,0.0
3,19393,1.0,34,33,1,1,0.0,0.0
3,19393,1.0,34,33,2,2,0.0,0.0
3,19393,0.0,34,85,0,0,0.0,2.0
3,19393,0.0,34,22,0,0,0.0,1.0
3,19393,2.0,34,22,1,2,1.0,1.0
3,19393,0.0,34,22,1,1,0.0,1.0
3,19393,3.0,34,22,2,2,1.0,1.0
3,19393,1.0,34,71,0,0,1.0,1.0
3,19393,3.0,34,64,2,2,1.0,1.0
3,19393,0.0,34,64,0,1,0.0,1.0
3,19393,2.0,34,33,0,0,0.0,1.0
3,19393,3.0,34,33,2,2,1.0,1.0
3,19393,3.0,34,33,2,2,1.0,1.0
3,19393,0.0,34,33,1,1,0.0,1.0
3,19393,3.0,34,41,1,1,1.0,1.0
3,19393,3.0,34,41,2,2,1.0,1.0
3,19393,3.0,34,41,2,2,1.0,1.0
3,19393,1.0,34,41,0,1,0.0,1.0
3,19393,0.0,34,41,0,0,0.0,1.0
3,19393,3.0,34,54,2,2,1.0,0.0
3,19393,0.0,34,54,0,0,1.0,0.0
3,19393,3.0,34,33,2,2,1.0,1.0
3,19393,3.0,34,33,1,1,1.0,1.0
3,19393,2.0,34,45,1,1,0.0,1.0
3,19393,0.0,34,72,1,1,0.0,1.0
3,19393,2.0,34,72,2,2,0.0,1.0
3,19393,3.0,34,72,1,1,1.0,1.0
3,19393,3.0,34,37,2,2,1.0,0.0
3,19393,3.0,34,73,0,1,1.0,1.0
3,19393,0.0,34,65,0,1,0.0,2.0
3,19393,2.0,34,33,1,2,1.0,1.0
3,19393,2.0,34,23,1,1,0.0,1.0
3,19393,2.0,34,23,2,2,0.0,1.0
3,19393,1.0,34,81,0,0,0.0,2.0
3,19393,3.0,34,23,1,1,1.0,1.0
3,19393,1.0,34,36,2,2,0.0,0.0
3,19393,1.0,34,36,1,1,0.0,0.0
3,19393,3.0,34,38,2,2,1.0,1.0
3,19393,0.0,34,38,1,1,0.0,1.0
3,19393,3.0,34,33,2,2,1.0,1.0
3,19393,3.0,34,74,2,2,1.0,2.0
3,19393,0.0,34,74,0,1,0.0,2.0
3,19393,3.0,34,52,2,2,1.0,0.0
3,19393,3.0,34,33,1,1,1.0,1.0
3,19393,0.0,34,33,2,2,0.0,1.0
3,19393,0.0,34,64,0,0,0.0,1.0
3,19393,3.0,34,64,2,2,1.0,1.0
3,19393,3.0,34,64,1,1,1.0,1.0
3,19393,3.0,34,33,0,0,1.0,1.0
3,19393,3.0,34,33,2,2,1.0,1.0
3,19393,3.0,34,33,1,1,1.0,1.0
3,19393,0.0,74,86,1,1,1.0,1.0
3,19393,0.0,74,74,2,2,0.0,1.0
3,19393,0.0,74,34,0,0,0.0,2.0
3,19393,0.0,74,34,2,2,0.0,2.0
3,19393,3.0,74,34,1,2,1.0,2.0
3,19393,0.0,74,54,1,2,0.0,1.0
3,19393,0.0,74,54,1,1,0.0,1.0
3,19393,0.0,74,54,2,2,0.0,1.0
3,19393,0.0,74,54,2,2,0.0,1.0
